addr,count
도봉구,1
영등포구,1
도봉구,1
서대문구,1
종로구,1
강동구,1
도봉구,1
강북구,1
강남구,1
강남구,1
종로구,1
강동구,1
중구,1
송파구,1
영등포구,1
동작구,1
송파구,1
구로구,1
양천구,1
중구,1
강남구,1
강남구,1
중구,1
강남구,1
강남구,1
성북구,1
동대문구,1
중구,1
관악구,1
광진구,1
중구,1
서대문구,1
서초구,1
영등포구,1
서대문구,1
구로구,1
강서구,1
마포구,1
마포구,1
성북구,1
강북구,1
양천구,1
성북구,1
은평구,1
종로구,1
중랑구,1
노원구,1
송파구,1
중구,1
관악구,1
금천구,1
구로구,1
성동구,1
광진구,1
동대문구,1
서초구,1
송파구,1
강동구,1
강남구,1
금천구,1
서초구,1
중구,1
송파구,1
영등포구,1
용산구,1
송파구,1
서대문구,1
용산구,1
강남구,1
서초구,1
동작구,1
서초구,1
용산구,1
은평구,1
관악구,1
강서구,1
서대문구,1
영등포구,1
마포구,1
강남구,1
광진구,1
양천구,1
강동구,1
강서구,1
광진구,1
강남구,1
관악구,1
강서구,1
성북구,1
노원구,1
중구,1
양천구,1
동대문구,1
동대문구,1
서초구,1
양천구,1
마포구,1
중랑구,1
은평구,1
강서구,1
송파구,1
송파구,1
노원구,1
동작구,1
강서구,1
노원구,1
중랑구,1
광진구,1
